업소명,소재지(도로명),소재지(지번),소재지전화
숯불,"충청남도 천안시 동남구 풍세면 통미2길 68, 1층",충청남도 천안시 동남구 풍세면 남관리 86-7 1층 , 041- 573-6635
남경생고기,"충청남도 천안시 동남구 차돌로 73-1, 1층 (봉명동)",충청남도 천안시 동남구 봉명동 20-7 , 041- 575-3228
녹원,"충청남도 천안시 동남구 유량로 140, 1층 (유량동)",충청남도 천안시 동남구 유량동 354-3 1층 , 041- 555-3531
(주)동원정,"충청남도 천안시 동남구 서부대로 541, 1동 1층 (봉명동)",충청남도 천안시 동남구 봉명동 131-14 1동 1층 ,
목천반점,충청남도 천안시 동남구 목천읍 서리1길 46,충청남도 천안시 동남구 목천읍 서리 24-6 ,0041-0553-1319
큰통치킨,충청남도 천안시 동남구 북면 복구정3길 6-9 (108호),충청남도 천안시 동남구 북면 연춘리 172-7 108호 , 041- 557-1818
병천수산,"충청남도 천안시 동남구 병천면 충절로 1771, 1층",충청남도 천안시 동남구 병천면 병천리 87-3 1층 ,041 -561 -0091
함지박식당,충청남도 천안시 동남구 봉서6길 24 (봉명동),충청남도 천안시 동남구 봉명동 437 , 041- 555-0963
명호공주얼큰이칼국수,충청남도 천안시 동남구 중앙로 214 (신부동),충청남도 천안시 동남구 신부동 452-1 , 041- 551-8220
우리정,충청남도 천안시 동남구 신부11길 11 (신부동),충청남도 천안시 동남구 신부동 487-11 ,0041-0552-4485
매트로,충청남도 천안시 동남구 먹거리10길 32-1 (신부동),충청남도 천안시 동남구 신부동 464-5 ,0041-0567-1620
조은면옥,"충청남도 천안시 동남구 목천읍 삼성4길 68, A동, B동 1층",충청남도 천안시 동남구 목천읍 삼성리 197-8 A동 B동 1층 , 041- 566-6459
중앙분식,충청남도 천안시 동남구 충절로 85 (원성동),충청남도 천안시 동남구 원성동 462-8 ,0041-0567-6895
광덕원가든,"충청남도 천안시 동남구 광덕면 광풍로 703-38, 1동 1층",충청남도 천안시 동남구 광덕면 대덕리 420-4 1동 1층 ,041 - 567-7485
차반점,"충청남도 천안시 동남구 청수7로 14-10, 1층 (청당동)",충청남도 천안시 동남구 청당동 830 1층 ,041 -555 -5122
계곡가든,충청남도 천안시 동남구 광덕면 죽계2길 38,충청남도 천안시 동남구 광덕면 광덕리 661 ,0041-0567-0410
청솔가든,충청남도 천안시 동남구 광덕면 해수길 177,충청남도 천안시 동남구 광덕면 광덕리 707-1 ,0041-0567-0409
황가네식당,충청남도 천안시 동남구 봉명로 108 (봉명동),충청남도 천안시 동남구 봉명동 43-1 , 041- 573-5352
장산고향손두부,"충청남도 천안시 동남구 수신면 수신로 744, 2동 1층",충청남도 천안시 동남구 수신면 장산리 477 2동 1층 , 041- 552-0464
황해골,충청남도 천안시 동남구 고재2길 26 (원성동),충청남도 천안시 동남구 원성동 112-2 외1필지 , 041- 564-5102
해남회관,충청남도 천안시 동남구 터미널7길 11 (신부동),충청남도 천안시 동남구 신부동 758 ,
이풍례명품비빔국수,충청남도 천안시 동남구 양지말2길 2-4 (유량동),충청남도 천안시 동남구 유량동 124-2 ,
갈재산장,"충청남도 천안시 동남구 광덕면 해수길 348, 1동 1층",충청남도 천안시 동남구 광덕면 광덕리 752-2 1동 1층 , 041- 567-4231
미래갈비,충청남도 천안시 동남구 풍세면 수원지길 4,충청남도 천안시 동남구 풍세면 남관리 129-7 ,
영춘식당,충청남도 천안시 동남구 병천면 아우내장터1길 43,충청남도 천안시 동남구 병천면 병천리 163-5 ,0041-0564-2127
하원정,"충청남도 천안시 동남구 광덕면 광덕로 294, 1층",충청남도 천안시 동남구 광덕면 신덕리 201-1 1층 ,
봉구스밥버거,충청남도 천안시 동남구 단대로 117-2 (신부동),충청남도 천안시 동남구 신부동 239-11 ,070 -7581-3871
꺼먹돼지,,충청남도 천안시 동남구 목천읍 신계리 386-4 ,0041-0557-0670
느러니김밥,충청남도 천안시 동남구 북면 충절로 1294,충청남도 천안시 동남구 북면 연춘리 119-2 ,0041-0557-1141
돌체,충청남도 천안시 동남구 버들로 12 (대흥동),충청남도 천안시 동남구 대흥동 71 , 041- 551-6152
한솔가든,"충청남도 천안시 동남구 광덕면 행정길 9, 1층",충청남도 천안시 동남구 광덕면 행정리 50-3 1층 ,0041- 566-7003
케이투호프,충청남도 천안시 동남구 풍세면 수원지길 4,충청남도 천안시 동남구 풍세면 남관리 129-7 ,0041-0566-5984
청보리다방카페,충청남도 천안시 동남구 미나릿길 40 (영성동),충청남도 천안시 동남구 영성동 77-1 , 041- 557-5015
나그네가든,충청남도 천안시 동남구 광덕면 해수길 231,충청남도 천안시 동남구 광덕면 광덕리 724 , 041- 556-5289
피노키오,충청남도 천안시 동남구 봉정로 17-1 (봉명동),충청남도 천안시 동남구 봉명동 40-16 , 041- 573-2774
총각네칼국수,충청남도 천안시 동남구 목천읍 성남로 15,충청남도 천안시 동남구 목천읍 신계리 332-12 ,041 -569 -0122
성남식당,충청남도 천안시 동남구 성남면 신사대화로 145,충청남도 천안시 동남구 성남면 신사리 315 ,0041-0553-0228
붐치킨호프,충청남도 천안시 동남구 성남면 신사대화로 157-2,충청남도 천안시 동남구 성남면 신사리 335-9 , 041- 554-2188
압구정곱떡,충청남도 천안시 동남구 먹거리11길 44 (신부동),충청남도 천안시 동남구 신부동 463-5 ,0041-0556-4341
후라이드참잘하는집신부안서점,충청남도 천안시 동남구 터미널9길 6 (신부동),충청남도 천안시 동남구 신부동 552 ,041 -565 -8846
삼거리추어탕매운탕,충청남도 천안시 동남구 대흥로 32 (구성동),충청남도 천안시 동남구 구성동 482-8 ,0041-0552-3120
패밀리,충청남도 천안시 동남구 신부12길 24 (신부동),충청남도 천안시 동남구 신부동 487-5 ,0041-0575-6252
위례식당,"충청남도 천안시 동남구 북면 위례성로 729, 1층",충청남도 천안시 동남구 북면 오곡리 392-1 1층 , 041- 554-0463
옥이네백반,충청남도 천안시 동남구 수선정길 29-1 (영성동),충청남도 천안시 동남구 영성동 7-5 ,
정화식당,충청남도 천안시 동남구 풍세면 풍세로 473,충청남도 천안시 동남구 풍세면 남관리 140-1 ,0041-0574-8799
능이버섯고을,충청남도 천안시 동남구 풍세로 971 (다가동),충청남도 천안시 동남구 다가동 27-18 ,0041-0555-2034
장수민물매운탕,"충청남도 천안시 동남구 성남면 약수로 244, 1층",충청남도 천안시 동남구 성남면 석곡리 335-7 1층 , 041- 554-3733
못난이식당,충청남도 천안시 동남구 고재15길 7 (원성동),충청남도 천안시 동남구 원성동 567-11 ,041 -566 -3420
신전떡볶이,"충청남도 천안시 동남구 단대로 110, 가동 1층 (신부동)","충청남도 천안시 동남구 신부동 256-2 외 1필지, 가동 1층 ",041 -562 -7767
달님이네병천순대,"충청남도 천안시 동남구 풍세면 풍세로 469, 1층",충청남도 천안시 동남구 풍세면 남관리 139 1층 ,0041-0553-3476
송원,충청남도 천안시 동남구 버들1길 19 (영성동),충청남도 천안시 동남구 영성동 3-12 ,0041-0556-4917
지지고천안백석대점,"충청남도 천안시 동남구 문암로 70, 1층 (안서동)",충청남도 천안시 동남구 안서동 385-4 1층 , 041- 555-6165
도리식당,충청남도 천안시 동남구 광덕면 신흥리3길 5,충청남도 천안시 동남구 광덕면 신흥리 306-5 307-6 12 ,0041-0568-4046
통통치킨,"충청남도 천안시 동남구 다가12길 6, 활림3차아파트 상가동 1층 3호 (다가동)",충청남도 천안시 동남구 다가동 381-1 활림아파트 상가동 1층 3호, 041- 574-0192
시골밥상,"충청남도 천안시 동남구 각원사길 131-4 (안서동, 선호빌라 B01)",충청남도 천안시 동남구 안서동 284-20 선호빌라 B01 ,041 -563 -7603
명가밥상,충청남도 천안시 동남구 신용로 43 (다가동),충청남도 천안시 동남구 다가동 355-25 ,0041-0574-5803
대한가든,충청남도 천안시 동남구 광덕면 해수길 175,충청남도 천안시 동남구 광덕면 광덕리 706-3 ,0041-0567-4767
청마루뼈다귀감자탕,충청남도 천안시 동남구 병천면 아우내장터3길 6,충청남도 천안시 동남구 병천면 병천리 168-25 ,    - 564-6169
목영,,충청남도 천안시 동남구 목천읍 서리 97-1 ,
배부른돼지,"충청남도 천안시 동남구 충절로 133, 1층 (원성동)",충청남도 천안시 동남구 원성동 498-13 1층 ,0041-0563-5592
설촌냉면석갈비,충청남도 천안시 동남구 천안천8길 63 (신부동),충청남도 천안시 동남구 신부동 592 ,0041-0557-5526
또래오래치킨,"충청남도 천안시 동남구 원거리11길 28, 1층 (원성동)",충청남도 천안시 동남구 원성동 556-11 , 041- 564-0336
남미식당,충청남도 천안시 동남구 풍세면 풍세로 468,충청남도 천안시 동남구 풍세면 남관리 133-1 ,
통영막회,"충청남도 천안시 동남구 신부2길 5, 1층 (신부동)",충청남도 천안시 동남구 신부동 473-13 ,041 -553 -5432
석쇠마당,"충청남도 천안시 동남구 터미널7길 21, 1층 (신부동)",충청남도 천안시 동남구 신부동 723 1층 , 041- 551-7175
미스터피자,충청남도 천안시 동남구 옛시청길 8 (대흥동),충청남도 천안시 동남구 대흥동 165-2 ,
이디야커피천안상명대점,"충청남도 천안시 동남구 상명대길 32-1, 1층 (안서동)",충청남도 천안시 동남구 안서동 321-22 1층 , 041- 553-5026
배부장찌개,충청남도 천안시 동남구 터미널4길 16 (신부동),충청남도 천안시 동남구 신부동 696 ,0041-0556-5313
파레스,"충청남도 천안시 동남구 명동길 37-1, 1층 (대흥동)",충청남도 천안시 동남구 대흥동 173-4 ,0041-0568-2366
서산순대집,충청남도 천안시 동남구 큰시장길 17 (사직동),충청남도 천안시 동남구 사직동 217-1 2 ,0041-0555-3723
천안생대구탕,"충청남도 천안시 동남구 태조산길 173, A동 102호 (유량동)",충청남도 천안시 동남구 유량동 130-7 A동 102호,041 -622 -5557
밀방아식당,"충청남도 천안시 동남구 개목8길 36, 2동 1층 (봉명동)",충청남도 천안시 동남구 봉명동 357 2동 1층 , 041- 567-1030
디엠지,"충청남도 천안시 동남구 문암로 72 (안서동,386-10 387(2층))",충청남도 천안시 동남구 안서동 385-13 386-10 387(2층) ,0041-0554-7209
스시덴참치,충청남도 천안시 동남구 터미널4길 4-1 (신부동),충청남도 천안시 동남구 신부동 796 ,041 -562 -6363
꼬꼬아찌,충청남도 천안시 동남구 먹거리9길 21 (신부동),충청남도 천안시 동남구 신부동 459-10 ,041 -563 -8841
염소타운,충청남도 천안시 동남구 버들1길 12 (원성동),충청남도 천안시 동남구 원성동 552-19 ,041 -566 -4800
명가김밥,"충청남도 천안시 동남구 원거리13길 24, 1층 (원성동)",충청남도 천안시 동남구 원성동 559-34 1층 ,041 -563 -2319
육풍,"충청남도 천안시 동남구 터미널9길 4, 1층 (신부동)",충청남도 천안시 동남구 신부동 546 1층 , 041- 567-4663
주목숯불구이,충청남도 천안시 동남구 원거리6길 29 (원성동),충청남도 천안시 동남구 원성동 562-2 , 041- 551-4007
부잣집식당,"충청남도 천안시 동남구 병천면 병천2로 14, 2동 1층",충청남도 천안시 동남구 병천면 병천리 105-2 2동 1층 ,
산골가든,충청남도 천안시 동남구 광덕면 만복골1길 61,충청남도 천안시 동남구 광덕면 광덕리 71-3 ,0041-0567-0917
봉평가면옥,충청남도 천안시 동남구 봉정로 22 (봉명동),충청남도 천안시 동남구 봉명동 39-14 ,0041-0573-4331
본가윤가네곰탕,충청남도 천안시 동남구 수신면 수신로 451,충청남도 천안시 동남구 수신면 속창리 136-6 137-4 ,041 -523 -5599
길,충청남도 천안시 동남구 먹거리9길 29 (신부동),충청남도 천안시 동남구 신부동 464-7 ,0041-0568-4070
건널목식당,,충청남도 천안시 동남구 용곡동 96-1 2 ,0041-0562-1537
양지촌식당,"충청남도 천안시 동남구 광덕면 보산원로 14, 1층",충청남도 천안시 동남구 광덕면 보산원리 687-26 1층 , 041- 567-0234
태양식당,충청남도 천안시 동남구 미나릿길 32-1 (영성동),충청남도 천안시 동남구 영성동 96-12 ,0041-0554-4060
전통묵집,충청남도 천안시 동남구 태조산길 179 (유량동),충청남도 천안시 동남구 유량동 129-1 ,0041-0568-0976
등촌샤브칼국수,"충청남도 천안시 동남구 만남로 80, 1층 (신부동)",충청남도 천안시 동남구 신부동 494-5 1층 , 041- 553-6222
돼지막촌,충청남도 천안시 동남구 고재15길 8 (원성동),충청남도 천안시 동남구 원성동 565-1 ,0041-0569-9901
옹기집,"충청남도 천안시 동남구 수신면 수신로 708, 1층",충청남도 천안시 동남구 수신면 장산리 493-5 1층 , 041- 551-8064
장혁칼국수앤만두,"충청남도 천안시 동남구 원거리11길 30, 1층 (원성동)",충청남도 천안시 동남구 원성동 556-11 1층 ,0041-0568-7545
장수촌,"충청남도 천안시 동남구 샛골길 1-6, 1층 (삼룡동)",충청남도 천안시 동남구 삼룡동 285-1 1층 , 041- 563-4505
땡글땡글,충청남도 천안시 동남구 삼룡천3길 96 (구성동),충청남도 천안시 동남구 구성동 473-3 , 041- 551-9960
참식당,충청남도 천안시 동남구 터미널7길 5 (신부동),충청남도 천안시 동남구 신부동 762 ,041 -523 -1522
프리카페,"충청남도 천안시 동남구 먹거리9길 25, 1층 (신부동)",충청남도 천안시 동남구 신부동 464-12 1층 , 041- 551-9332
팔복도가니탕집,충청남도 천안시 동남구 만남의길 9 (신부동),충청남도 천안시 동남구 신부동 37-1 , 041- 556-0100
연숙이네,충청남도 천안시 동남구 봉명1길 74-1 (봉명동),충청남도 천안시 동남구 봉명동 208-20 , 041- 573-6019
천안상록클럽하우스,충청남도 천안시 동남구 수신면 수신로 557,충청남도 천안시 동남구 수신면 장산리 804-1 외2필지 ,041 -560 -9031
천안상록동1스타트하우스,충청남도 천안시 동남구 수신면 수신로 557,충청남도 천안시 동남구 수신면 장산리 804-1 외2필지 , 041- 560-9933
천안상록중6그늘집,충청남도 천안시 동남구 수신면 수신로 557,충청남도 천안시 동남구 수신면 장산리 804-1 외 2필지 , 041- 560-9933
천안상록남6그늘집,충청남도 천안시 동남구 수신면 수신로 557,충청남도 천안시 동남구 수신면 장산리 804-1 외2필지 ,041 -560 -9933
현죽,"충청남도 천안시 동남구 순천향4길 38, 1층 (봉명동)",충청남도 천안시 동남구 봉명동 223-1 1층 ,041 -576 -6500
원조설악추어탕,"충청남도 천안시 동남구 대흥로 7, 1층 (구성동)",충청남도 천안시 동남구 구성동 314-16 1층 , 041- 552-7575
천안본가장어,"충청남도 천안시 동남구 다가말4길 28, 1층 (다가동)",충청남도 천안시 동남구 다가동 409-5 1층 , 041- 577-1592
이삭토스트,"충청남도 천안시 동남구 문암로 68-1, 1층 (안서동)",충청남도 천안시 동남구 안서동 385-4 1층 ,041 -523 -2322
배가족발,"충청남도 천안시 동남구 수곡로 75, 1층 (신방동)",충청남도 천안시 동남구 신방동 51 1층 ,041 -579 -9233
소년회관,충청남도 천안시 동남구 먹거리11길 15 (신부동),충청남도 천안시 동남구 신부동 454-9 , 041- 552-2070
춘천닭갈비,충청남도 천안시 동남구 터미널7길 24 (신부동),충청남도 천안시 동남구 신부동 772 ,    - 555-5244
활인가죽염추어탕,충청남도 천안시 동남구 다가4길 4-7 (다가동),충청남도 천안시 동남구 다가동 396-12 ,041 -575 -7797
비비큐천안목천점,충청남도 천안시 동남구 목천읍 충절로 767,충청남도 천안시 동남구 목천읍 신계리 383-6 ,0041-0556-5434
제주포크똥돼지,충청남도 천안시 동남구 터미널8길 12 (신부동),충청남도 천안시 동남구 신부동 717 ,
홉스,충청남도 천안시 동남구 병천면 충절로 1606,충청남도 천안시 동남구 병천면 가전리 177-15 외1필지 , 041- 564-9510
아우내옛날순대,충청남도 천안시 동남구 병천면 아우내순대길 50 (204-1),충청남도 천안시 동남구 병천면 병천리 190-3 204-1 ,041 -564 -9090
페리카나치킨청룡점,"충청남도 천안시 동남구 구성2길 1, 1층 (구성동)",충청남도 천안시 동남구 구성동 476-11 1층 ,041 -562 -5608
넘버원,충청남도 천안시 동남구 차돌로 59 (봉명동),충청남도 천안시 동남구 봉명동 24-10 ,0041-0571-9187
청정한우정육식당,충청남도 천안시 동남구 터미널3길 19 (신부동),충청남도 천안시 동남구 신부동 722 ,041 -568 -1322
멕시칸양념통닭성지체인점,"충청남도 천안시 동남구 일봉로 17 (신방동,성지아파트 1단지 상가 105호)",충청남도 천안시 동남구 신방동 873 성지아파트 1단지 상가 105호 ,0041-0573-9557
그때그시절,"충청남도 천안시 동남구 병천면 충절로 1588, 1층",충청남도 천안시 동남구 병천면 가전리 198-3 1층 ,041 -564 -9557
누렁쇠가든,"충청남도 천안시 동남구 목천읍 응원1길 88, 1층",충청남도 천안시 동남구 목천읍 응원리 159-4 1층 , 041- 554-8808
은천식당,충청남도 천안시 동남구 신용로 51 (다가동),충청남도 천안시 동남구 다가동 361-4 ,0041-0572-6769
논골,충청남도 천안시 동남구 용곡6길 48 (용곡동),충청남도 천안시 동남구 용곡동 298-1 ,0041-0551-0305
덕성낚시터매점식당,충청남도 천안시 동남구 동면 덕성1길 43,충청남도 천안시 동남구 동면 덕성리 422-1 ,
전주골고향보쌈,충청남도 천안시 동남구 신부2길 8-2 (신부동),충청남도 천안시 동남구 신부동 475-7 ,041 -522 -3303
중앙식당,충청남도 천안시 동남구 천안천5길 6 (성황동),충청남도 천안시 동남구 성황동 55-3 ,
은지산성,"충청남도 천안시 동남구 북면 상동2길 43-26, 1층",충청남도 천안시 동남구 북면 은지리 528-1 1층 , 041- 557-3355
란쌀국수,충청남도 천안시 동남구 충절로 244 (구성동),충청남도 천안시 동남구 구성동 480-9 ,041 -576 -6112
굿모닝살로만치킨병천점,충청남도 천안시 동남구 병천면 충절로 1638 (상가108호),충청남도 천안시 동남구 병천면 가전리 68-9 상가108호 , 041- 577-7942
오성갈비,"충청남도 천안시 동남구 광덕면 광덕로 228, 1층",충청남도 천안시 동남구 광덕면 신덕리 156 1층 ,041 -566 -1999
자매식당,"충청남도 천안시 동남구 동면 충절로 2273, 1층",충청남도 천안시 동남구 동면 동산리 512-2 ,041 -522 -2007
영남식당,충청남도 천안시 동남구 양지말1길 10 (유량동),충청남도 천안시 동남구 유량동 141-11 ,0041-0561-1188
누이식당,충청남도 천안시 동남구 개목1길 16 (봉명동),충청남도 천안시 동남구 봉명동 299 ,0041-0573-0359
선관주막,충청남도 천안시 동남구 신부3길 9 (신부동),충청남도 천안시 동남구 신부동 474-5 ,0041-0555-0129
무진가든,"충청남도 천안시 동남구 북면 위례성로 440, 1층",충청남도 천안시 동남구 북면 매송리 758 1층 ,041 -553 -2700
천안야식,"충청남도 천안시 동남구 버들로 124, 1층 (원성동)",충청남도 천안시 동남구 원성동 506-2 ,041 -555 -3431
신은수참병천순대집,"충청남도 천안시 동남구 병천면 아우내순대길 9, 1층",충청남도 천안시 동남구 병천면 병천리 289-13 1층 ,041 -561 -0151
금산식당,충청남도 천안시 동남구 풍세로 921 (다가동),충청남도 천안시 동남구 다가동 56-10 , 041- 555-4721
통나무포차,충청남도 천안시 동남구 신용로 14 (다가동),충청남도 천안시 동남구 다가동 371-4 ,
퉁영양탕소머리국밥,충청남도 천안시 동남구 성남면 신사운전길 7,충청남도 천안시 동남구 성남면 신사리 316-1 외2필지 , 041-553 -0988
이서방치킨유량점,충청남도 천안시 동남구 양지말1길 10 (유량동),충청남도 천안시 동남구 유량동 141-11 , 041- 562-8088
컨벤션대식당,충청남도 천안시 동남구 수신면 수신로 576,충청남도 천안시 동남구 수신면 장산리 669-1 외4필지 , 041- 560-9114
해오름,충청남도 천안시 동남구 수신면 수신로 576,충청남도 천안시 동남구 수신면 장산리 669-1 외4필지 , 041- 560-9933
수명가든,충청남도 천안시 동남구 광덕면 보산원1길 117,충청남도 천안시 동남구 광덕면 보산원리 680-17 ,0041-0568-5282
서산집,"충청남도 천안시 동남구 사직로 18 (사직동,341-3)",충청남도 천안시 동남구 사직동 175-10 341-3 ,0041-0555-6650
마포갈비,"충청남도 천안시 동남구 병천면 병천2로 34-6, 1층",충청남도 천안시 동남구 병천면 병천리 91-2 1층 ,
꼬기까먹기,충청남도 천안시 동남구 상명대길 32 (안서동),충청남도 천안시 동남구 안서동 321-22 ,
우일식당,충청남도 천안시 동남구 고재18길 1 (원성동),충청남도 천안시 동남구 원성동 542-6 ,041 -563 -3336
돼지네식당,충청남도 천안시 동남구 병천면 아우내순대길 16-42,충청남도 천안시 동남구 병천면 병천리 201-1 , 041- 564-1288
돼지나라,충청남도 천안시 동남구 자유시장1길 22 (성황동),충청남도 천안시 동남구 성황동 87-7 , 041- 553-2005
선착순,충청남도 천안시 동남구 터미널4길 18 (신부동),충청남도 천안시 동남구 신부동 697 ,0041-0551-0026
부흥치킨,충청남도 천안시 동남구 구성1길 1 (구성동),충청남도 천안시 동남구 구성동 464-3 ,
큰엄니순대국앤보쌈본점,충청남도 천안시 동남구 병천면 아우내순대길 41,충청남도 천안시 동남구 병천면 병천리 173-9 ,0041-0564-1490
띠아모,충청남도 천안시 동남구 먹거리10길 28 (신부동),충청남도 천안시 동남구 신부동 464-11 ,0041-0568-4352
무쏘,충청남도 천안시 동남구 터미널3길 20 (신부동),충청남도 천안시 동남구 신부동 710 ,
박속낙지탕,"충청남도 천안시 동남구 신부2길 4-1, 1층 (신부동)",충청남도 천안시 동남구 신부동 475-4 1층 ,041 -562 -8929
피플,충청남도 천안시 동남구 탑골길 18 (안서동),충청남도 천안시 동남구 안서동 318-32 ,0041-0555-3171
한독대국물김치찜,"충청남도 천안시 동남구 북면 충절로 1456, 천안북면중앙임대아파트생활편익시설동 2층 204호, 205호","충청남도 천안시 동남구 북면 상동리 86-14 천안북면중앙임대아파트생활편익시설 2층 204호, 205호 ", 041- 556-6778
자연구이마을,충청남도 천안시 동남구 병천면 아우내장터3길 12-2,충청남도 천안시 동남구 병천면 병천리 164-11 ,0041-0555-5475
동성식당,충청남도 천안시 동남구 목천읍 목천안터2길 8,충청남도 천안시 동남구 목천읍 신계리 166-27 , 041- 557-2891
씽씽하우스,"충청남도 천안시 동남구 수신면 수신로 576, 1층 (주39-센타하우스)",충청남도 천안시 동남구 수신면 장산리 669-1 외4필지 주39-센타하우스 1층 ,041 -560 -9933
울림,충청남도 천안시 동남구 터미널3길 17 (신부동),충청남도 천안시 동남구 신부동 766 ,
카페테리아,"충청남도 천안시 동남구 수신면 수신로 576, 1층 (주21-간이식당-2)","충청남도 천안시 동남구 수신면 장산리 669-1 외4필지, 주21-간이식당-2, 1층 ",041 -560 -9032
간이식당4,충청남도 천안시 동남구 수신면 수신로 576,충청남도 천안시 동남구 수신면 장산리 669-1 외4필지 ,041 -560 -9011
신화족구이,충청남도 천안시 동남구 개목4길 6 (봉명동),충청남도 천안시 동남구 봉명동 377 ,0041-0575-7180
서가네,충청남도 천안시 동남구 문화로 6 (대흥동),충청남도 천안시 동남구 대흥동 18 ,
교토리,"충청남도 천안시 동남구 북면 위례성로 782, 1층",충청남도 천안시 동남구 북면 사담리 95-2 1층 ,041 -554 -2600
동해동태탕,충청남도 천안시 동남구 광덕면 차령고개로 1073,충청남도 천안시 동남구 광덕면 행정리 83-5 ,041 - 566-8317
카스타운,"충청남도 천안시 동남구 일봉로 8, 2층 202호 (신방동)",충청남도 천안시 동남구 신방동 878 , 041- 575-7969
예뫼골,"충청남도 천안시 동남구 각원사길 141 (안서동,외1필지 1층)",충청남도 천안시 동남구 안서동 142 외1필지 1층 ,0041-0567-5988
삼성막국수,충청남도 천안시 동남구 목천읍 성남로 13,충청남도 천안시 동남구 목천읍 신계리 332-11 , 041- 557-2619
한마당손칼국수,"충청남도 천안시 동남구 은행길 5-9 (대흥동,,1층)","충청남도 천안시 동남구 대흥동 87 ,1층 ",041 -555 -3610
먹쇠포차,충청남도 천안시 동남구 봉정로 42 (봉명동),충청남도 천안시 동남구 봉명동 45-14 ,041 -573 -6142
산동,"충청남도 천안시 동남구 신부12길 12, 1층 (신부동)",충청남도 천안시 동남구 신부동 470-5 1층 ,041 -569 -6142
황홀한막창앤뒷고기본점,"충청남도 천안시 동남구 터미널3길 17, 1층 (신부동)",충청남도 천안시 동남구 신부동 766 , 041- 552-5989
버드,충청남도 천안시 동남구 터미널8길 10 (신부동),충청남도 천안시 동남구 신부동 716 ,
노랑통닭신부점,충청남도 천안시 동남구 방죽안3길 9-1 (신부동),충청남도 천안시 동남구 신부동 548 ,041 -566 -8258
벙커,충청남도 천안시 동남구 터미널7길 24 (신부동),충청남도 천안시 동남구 신부동 772 ,
자유시간,충청남도 천안시 동남구 개목4길 12 (봉명동),충청남도 천안시 동남구 봉명동 339 ,041 -571 -3991
남주해장국,충청남도 천안시 동남구 터미널7길 13 (신부동),충청남도 천안시 동남구 신부동 738 ,041 -552 -0011
매우만족,충청남도 천안시 동남구 터미널9길 18 (신부동),충청남도 천안시 동남구 신부동 568 ,0041-0553-9292
터줏대감,"충청남도 천안시 동남구 각원사길 204, 1층 (안서동)",충청남도 천안시 동남구 안서동 176-2 1층 ,
고향집,충청남도 천안시 동남구 대흥로 138 (사직동),충청남도 천안시 동남구 사직동 214-1 ,041 -556 -5850
정가네한식부페,충청남도 천안시 동남구 풍세로 922-1 (청수동),충청남도 천안시 동남구 청수동 232-13 ,0041-0555-8854
너랑나랑포장마차,,충청남도 천안시 동남구 풍세면 남관리 163 외1필지(145) ,0041-0572-7809
개코막걸리,충청남도 천안시 동남구 원성11길 11 (원성동),충청남도 천안시 동남구 원성동 489-8 ,0041-0567-9460
애향분식,충청남도 천안시 동남구 다가8길 22 (다가동),충청남도 천안시 동남구 다가동 380-5 ,0041-0571-9316
천수숯불갈비,"충청남도 천안시 동남구 천안천공원4길 21, 1층 (영성동)",충청남도 천안시 동남구 영성동 154-3 1층 , 041- 557-8809
강촌백반,충청남도 천안시 동남구 터미널1길 4 (신부동),충청남도 천안시 동남구 신부동 740 ,041 -573 -4814
짬뽕지존터미널점,"충청남도 천안시 동남구 만남로 17, 1층 (신부동)",충청남도 천안시 동남구 신부동 363-11 1층 ,041 -567 -5161
또봉이통닭병천점,충청남도 천안시 동남구 병천면 아우내순대길 35,충청남도 천안시 동남구 병천면 병천리 173-4 ,041 -564 -0333
솔이네김밥,충청남도 천안시 동남구 충절로 269 (구성동),충청남도 천안시 동남구 구성동 464-5 6 , 041- 568-8889
동천홍,충청남도 천안시 동남구 명동길 45-1 (대흥동),충청남도 천안시 동남구 대흥동 105-23 ,0041-0551-4003
푸드테리아,충청남도 천안시 동남구 수신면 수신로 576 (외4필지),충청남도 천안시 동남구 수신면 장산리 669-1 외4필지 , 041- 560-9114
푸드테리아스넥바,"충청남도 천안시 동남구 수신면 수신로 576, 아쿠아피아동 1층","충청남도 천안시 동남구 수신면 장산리 669-1 외4필지, 아쿠아피아 1층 ",041 -560 -9933
신사부마라탕,"충청남도 천안시 동남구 터미널5길 13, 1층 (신부동)",충청남도 천안시 동남구 신부동 694 1층 ,070 -7796-6565
처갓집양념치킨신방점,충청남도 천안시 동남구 수곡2길 5 (신방동),충청남도 천안시 동남구 신방동 49-16 , 041- 575-6236
맹호네칼국수,충청남도 천안시 동남구 미나릿길 32-9 (영성동),충청남도 천안시 동남구 영성동 94-27 ,0041-0565-5802
노량진활어회수산시장,"충청남도 천안시 동남구 충절로 149, 1층 (원성동)",충청남도 천안시 동남구 원성동 509-11 1층 ,041 -554 -8444
개울목,"충청남도 천안시 동남구 북면 위례성로 1288, 1층",충청남도 천안시 동남구 북면 운용리 285-2 1층 , 041- 567-3385
다솔촌식당,"충청남도 천안시 동남구 목천읍 신계1길 9, 1층",충청남도 천안시 동남구 목천읍 신계리 382 1층 , 041- 555-5900
짜박손두부,"충청남도 천안시 동남구 목천읍 충절로 865, 1층",충청남도 천안시 동남구 목천읍 신계리 291-5 ,041 -622 -3692
코믹몬스터,"충청남도 천안시 동남구 수곡1길 12-10, 2층 (신방동)",충청남도 천안시 동남구 신방동 54-4 2층 ,041 -579 -1424
